event_name,round,match,team,fan_vote_pct,fan_vote_count,total_fan_vote,fan_vote_point,fan_vote_bonus_score
New York,1,1,GRV,0.4099454214675561,676,1649,0,0.4099454214675561
New York,1,1,QUICK STYLE,0.5900545785324439,973,1649,1,0.5900545785324439
New York,1,2,BROTHERHOOD,0.7609439124487004,2225,2924,1,0.7609439124487004
New York,1,2,1MILLION,0.2390560875512996,699,2924,0,0.2390560875512996
New York,1,3,ROYAL FAMILY,0.39893617021276595,1200,3008,0,0.39893617021276595
New York,1,3,JAM REPUBLIC,0.601063829787234,1808,3008,1,0.601063829787234
New York,2,1,BROTHERHOOD,0.7830769230769231,1527,1950,1,0.7830769230769231
New York,2,1,QUICK STYLE,0.13743589743589743,268,1950,0,0.13743589743589743
New York,2,1,ROYAL FAMILY,0.07948717948717948,155,1950,0,0.07948717948717948
Vancouver,1,1,ROYAL FAMILY,0.24283326905771951,1889,7779,0,0.24283326905771951
Vancouver,1,1,1MILLION,0.7571667309422805,5890,7779,1,0.7571667309422805
Vancouver,1,2,QUICK STYLE,0.11725638383144395,1024,8733,0,0.11725638383144395
Vancouver,1,2,JAM REPUBLIC,0.882743616168556,7709,8733,1,0.882743616168556
Vancouver,1,3,GRV,0.2681211870540792,2593,9671,0,0.2681211870540792
Vancouver,1,3,BROTHERHOOD,0.7318788129459208,7078,9671,1,0.7318788129459208
Vancouver,2,1,BROTHERHOOD,0.8097073346983018,6723,8303,1,0.8097073346983018
Vancouver,2,1,JAM REPUBLIC,0.145128266891485,1205,8303,0,0.145128266891485
Vancouver,2,1,1MILLION,0.04516439841021318,375,8303,0,0.04516439841021318
Sydney,1,1,JAM REPUBLIC,0.18888283378746595,1733,9175,0,0.18888283378746595
Sydney,1,1,GRV,0.811117166212534,7442,9175,1,0.811117166212534
Sydney,1,2,QUICK STYLE,0.11231197771587743,1008,8975,0,0.11231197771587743
Sydney,1,2,1MILLION,0.8876880222841226,7967,8975,1,0.8876880222841226
Sydney,1,3,BROTHERHOOD,0.8014447295884422,8432,10521,1,0.8014447295884422
Sydney,1,3,ROYAL FAMILY,0.19855527041155785,2089,10521,0,0.19855527041155785
Sydney,2,1,BROTHERHOOD,0.6925598164536217,6339,9153,1,0.6925598164536217
Sydney,2,1,GRV,0.1071779744346116,981,9153,0,0.1071779744346116
Sydney,2,1,1MILLION,0.20026220911176662,1833,9153,0,0.20026220911176662
Seoul,1,1,GRV,0.23232323232323232,2208,9504,0,0.23232323232323232
Seoul,1,1,ROYAL FAMILY,0.7676767676767676,7296,9504,1,0.7676767676767676
Seoul,1,2,BROTHERHOOD,0.757158692037687,8197,10826,1,0.757158692037687
Seoul,1,2,QUICK STYLE,0.24284130796231296,2629,10826,0,0.24284130796231296
Seoul,1,3,JAM REPUBLIC,0.40646306154851963,4352,10707,0,0.40646306154851963
Seoul,1,3,1MILLION,0.5935369384514804,6355,10707,1,0.5935369384514804
Seoul,2,1,BROTHERHOOD,0.6656673911414225,8882,13343,1,0.6656673911414225
Seoul,2,1,1MILLION,0.25856254215693625,3450,13343,0,0.25856254215693625
Seoul,2,1,ROYAL FAMILY,0.07577006670164131,1011,13343,0,0.07577006670164131
