season,event,event_name,round,match,team,complexity_of_choreography,staging,musicality,creativity,stylistic_athleticism,cleanliness,technical_execution_authenticity,spacing,projection,stamina,fan_votes,fan_vote_pct,total_fan_votes,n_way,rank,judges_rank,judges_tie,fan_rank,design_score,execution_score
2026,1,New York,1,1,GRV,8.67,8.33,8.5,8.17,7.5,9.17,8.5,9,9,9.67,676,41%,1649,2,2,1,TRUE,2,41.17,45.34
2026,1,New York,1,1,QUICK STYLE,8.83,8.5,8.67,8.5,8.5,8.33,8.83,8.67,9.17,9.5,973,59%,1649,2,1,1,TRUE,1,43,44.5
2026,1,New York,1,2,BROTHERHOOD,9.67,9.67,9.5,9.67,9.17,9.5,9.33,9,9.33,9.67,2225,76%,2924,2,1,1,FALSE,1,47.68,46.83
2026,1,New York,1,2,1MILLION,8.67,8.83,8.5,8.33,8.67,8.33,8.83,8.67,9,9.5,699,24%,2924,2,2,2,FALSE,2,43,44.33
2026,1,New York,1,3,ROYAL FAMILY,8.5,9,8.5,7.83,8.67,8.33,8.67,8.67,9,9.5,1200,40%,3008,2,1,1,FALSE,2,42.5,44.17
2026,1,New York,1,3,JAM REPUBLIC,8,8.33,8.5,8,8.5,7.83,7.83,8,8.17,9.33,1808,60%,3008,2,2,2,FALSE,1,41.33,41.16
2026,1,New York,2,4,BROTHERHOOD,10,9.83,10,10,10,10,9.5,9.17,10,10,1527,78%,1950,3,1,1,FALSE,1,49.83,48.67
2026,1,New York,2,4,QUICK STYLE,9.33,9,9.17,9,8.5,8.5,9,8.67,9.33,9.33,268,14%,1950,3,2,2,FALSE,2,45,44.83
2026,1,New York,2,4,ROYAL FAMILY,8.67,8.83,8.33,8.17,8.5,8.5,8.17,8.83,8.83,9.33,155,8%,1950,3,3,3,FALSE,3,42.5,43.66
2026,2,Vancouver,1,1,ROYAL FAMILY,8,8.33,8.5,8.17,7.5,9.17,8.5,9,9,9.67,1889,24%,7779,2,2,1,TRUE,2,40.5,45.34
2026,2,Vancouver,1,1,1MILLION,8.33,8.5,8.67,8.5,8.5,8.33,8.83,8.67,9.17,9.5,5890,76%,7779,2,1,1,TRUE,1,42.5,44.5
2026,2,Vancouver,1,2,QUICK STYLE,8.33,7.67,8.67,8.17,7.83,8.5,8.33,8.5,8.67,9.33,1024,12%,8733,2,2,2,FALSE,2,40.67,43.33
2026,2,Vancouver,1,2,JAM REPUBLIC,8.67,8.33,8.67,8.5,8.67,9,8.67,8.67,9.5,9.67,7709,88%,8733,2,1,1,FALSE,1,42.84,45.51
2026,2,Vancouver,1,3,GRV,8.5,9,8.5,9.67,9,8.67,8.83,8.67,9.5,9.83,2593,27%,9671,2,2,2,FALSE,2,44.67,45.5
2026,2,Vancouver,1,3,BROTHERHOOD,8.83,8.67,9.33,9.33,9,9.67,9.5,8.83,10,10,7078,73%,9671,2,1,1,FALSE,1,45.16,48
2026,2,Vancouver,2,4,BROTHERHOOD,9.33,9.83,9.5,9.5,9,9.5,9.33,8.5,9.67,9.83,6723,81%,8303,3,1,1,FALSE,1,47.16,46.83
2026,2,Vancouver,2,4,JAM REPUBLIC,7.67,8.33,9.17,8.5,7.83,8.83,8.67,8.5,9.17,9.5,1205,14%,8303,3,2,2,FALSE,2,41.5,44.67
2026,2,Vancouver,2,4,1MILLION,8,8.5,8.5,8.33,8,8.5,8.67,8.5,9,9.5,375,5%,8303,3,3,3,FALSE,3,41.33,44.17
2026,3,Sydney,1,1,JAM REPUBLIC,7.17,8,8.33,8,7.83,8,7.67,8.33,8.5,9.17,1733,19%,9175,2,2,2,FALSE,2,39.33,41.67
2026,3,Sydney,1,1,GRV,9,8.67,8.5,8.5,8.83,8.67,8.83,8.5,9.33,10,7442,81%,9175,2,1,1,FALSE,1,43.5,45.33
2026,3,Sydney,1,2,QUICK STYLE,8,8.33,8.33,8.16,8.17,7,8.17,8.17,8.67,9,1008,11%,8975,2,2,2,FALSE,2,40.99,41.01
2026,3,Sydney,1,2,1MILLION,7.66,8.67,8.17,9,8.5,8,8.33,8.5,9.67,9.5,7967,89%,8975,2,1,1,FALSE,1,42,44
2026,3,Sydney,1,3,BROTHERHOOD,8.83,9.17,9.5,9.67,9.17,9,8.83,8.5,9.83,9.67,8432,80%,10521,2,1,1,FALSE,1,46.34,45.83
2026,3,Sydney,1,3,ROYAL FAMILY,8.33,8.67,8.83,8.67,8.83,8.5,8.17,8.67,9.67,9.83,2089,20%,10521,2,2,2,FALSE,2,43.33,44.84
2026,3,Sydney,2,4,BROTHERHOOD,9,9.16,9.17,9,9.17,9.17,9,9,9.83,10,6339,69%,9153,3,1,1,FALSE,1,45.5,47
2026,3,Sydney,2,4,GRV,9.33,8.83,9.33,8.68,9.17,8.83,8.83,8.5,9.33,9.83,981,11%,9153,3,2,2,FALSE,3,45.34,45.32
2026,3,Sydney,2,4,1MILLION,8.33,8.83,8.68,8.83,8.83,8.17,9,8.83,9.67,10,1833,20%,9153,3,3,3,FALSE,2,43.5,45.67
2026,4,Seoul,1,1,GRV,8.5,8.17,8.75,7.83,8.33,8.5,8.08,8.5,8.67,8.75,NA,23%,NA,2,2,2,FALSE,2,41.58,42.5
2026,4,Seoul,1,1,ROYAL FAMILY,8.67,8.67,8.75,8.5,8.75,8.83,8.58,8.5,9.08,9.5,NA,77%,NA,2,1,1,FALSE,1,43.34,44.49
2026,4,Seoul,1,2,BROTHERHOOD,8.83,8.83,8.75,8.42,8.58,8.92,8.33,8.58,9.25,9.33,NA,76%,NA,2,1,1,FALSE,1,43.41,44.41
2026,4,Seoul,1,2,QUICK STYLE,8.5,8.42,8.75,8.5,7.83,7.83,8.5,8.25,9.17,9.08,NA,24%,NA,2,2,2,FALSE,2,42,42.83
2026,4,Seoul,1,3,JAM REPUBLIC,8.83,8.5,8.83,8.08,8.17,8.58,8.5,8.33,8.67,9.08,NA,41%,NA,2,2,2,FALSE,2,42.41,43.16
2026,4,Seoul,1,3,1MILLION,8.5,9.08,8.5,8.75,8.5,8.75,8.75,8.83,9.17,9.42,NA,59%,NA,2,1,1,FALSE,1,43.33,44.92
2026,4,Seoul,2,4,BROTHERHOOD,9.25,9.17,9.25,9.08,8.67,9.33,8.92,9.08,9.25,9.58,8882,66%,13343,3,1,1,FALSE,1,45.42,46.16
2026,4,Seoul,2,4,1MILLION,8.58,9.33,8.66,9,8.92,8.67,8.83,8.92,9.25,9.42,3450,26%,13343,3,2,2,FALSE,2,44.49,45.09
2026,4,Seoul,2,4,ROYAL FAMILY,8.5,9,8.58,8.66,8.33,8.92,8.67,8.92,9,9.25,1011,8%,13343,3,3,3,FALSE,3,43.07,44.76
