event_name,round,match,team,category,judges_category_averages,judges_match_averages
New York,1,1,GRV,Choreography Complexity,8.67,86.84
New York,1,1,GRV,Cleanliness,8.17,86.84
New York,1,1,GRV,Creativity,8.50,86.84
New York,1,1,GRV,Musicality,8.83,86.84
New York,1,1,GRV,Projection/Communication,9.00,86.84
New York,1,1,GRV,Spacing,8.67,86.84
New York,1,1,GRV,Staging,8.50,86.84
New York,1,1,GRV,Stamina,9.33,86.84
New York,1,1,GRV,Stylistic Athleticism,8.50,86.84
New York,1,1,GRV,Technical Execution + Authenticity,8.67,86.84
New York,1,1,QUICK STYLE,Choreography Complexity,8.83,89.00
New York,1,1,QUICK STYLE,Cleanliness,9.00,89.00
New York,1,1,QUICK STYLE,Creativity,9.17,89.00
New York,1,1,QUICK STYLE,Musicality,9.33,89.00
New York,1,1,QUICK STYLE,Projection/Communication,9.33,89.00
New York,1,1,QUICK STYLE,Spacing,8.50,89.00
New York,1,1,QUICK STYLE,Staging,8.67,89.00
New York,1,1,QUICK STYLE,Stamina,9.00,89.00
New York,1,1,QUICK STYLE,Stylistic Athleticism,8.17,89.00
New York,1,1,QUICK STYLE,Technical Execution + Authenticity,9.00,89.00
New York,1,2,1MILLION,Choreography Complexity,8.67,87.33
New York,1,2,1MILLION,Cleanliness,8.33,87.33
New York,1,2,1MILLION,Creativity,8.33,87.33
New York,1,2,1MILLION,Musicality,8.50,87.33
New York,1,2,1MILLION,Projection/Communication,9.00,87.33
New York,1,2,1MILLION,Spacing,8.67,87.33
New York,1,2,1MILLION,Staging,8.83,87.33
New York,1,2,1MILLION,Stamina,9.50,87.33
New York,1,2,1MILLION,Stylistic Athleticism,8.67,87.33
New York,1,2,1MILLION,Technical Execution + Authenticity,8.83,87.33
New York,1,2,BROTHERHOOD,Choreography Complexity,9.67,94.01
New York,1,2,BROTHERHOOD,Cleanliness,9.33,94.01
New York,1,2,BROTHERHOOD,Creativity,9.67,94.01
New York,1,2,BROTHERHOOD,Musicality,9.50,94.01
New York,1,2,BROTHERHOOD,Projection/Communication,9.33,94.01
New York,1,2,BROTHERHOOD,Spacing,8.83,94.01
New York,1,2,BROTHERHOOD,Staging,9.67,94.01
