event_name,round,match,team,judge_name,judges_total_score,judge_point
New York,1,1,GRV,Amari Marshall,80.0,0
New York,1,1,GRV,Arnel Calvario,91.0,1
New York,1,1,GRV,Arturo Lyons,86.0,1
New York,1,1,GRV,Chonique Sneed,86.0,0
New York,1,1,GRV,Jamal Sims,93.0,1
New York,1,1,GRV,LaTasha Barnes,85.0,0
New York,1,1,QUICK STYLE,Amari Marshall,95.0,1
New York,1,1,QUICK STYLE,Arnel Calvario,89.0,0
New York,1,1,QUICK STYLE,Arturo Lyons,80.0,0
New York,1,1,QUICK STYLE,Chonique Sneed,90.0,1
New York,1,1,QUICK STYLE,Jamal Sims,90.0,0
New York,1,1,QUICK STYLE,LaTasha Barnes,90.0,1
New York,1,2,1MILLION,Amari Marshall,88.0,0
New York,1,2,1MILLION,Arnel Calvario,90.0,0
New York,1,2,1MILLION,Arturo Lyons,81.0,0
New York,1,2,1MILLION,Chonique Sneed,89.0,0
New York,1,2,1MILLION,Jamal Sims,89.0,0
New York,1,2,1MILLION,LaTasha Barnes,87.0,0
New York,1,2,BROTHERHOOD,Amari Marshall,94.0,1
New York,1,2,BROTHERHOOD,Arnel Calvario,91.0,1
New York,1,2,BROTHERHOOD,Arturo Lyons,96.0,1
New York,1,2,BROTHERHOOD,Chonique Sneed,94.0,1
New York,1,2,BROTHERHOOD,Jamal Sims,96.0,1
New York,1,2,BROTHERHOOD,LaTasha Barnes,93.0,1
New York,1,3,JAM REPUBLIC,Amari Marshall,78.0,0
New York,1,3,JAM REPUBLIC,Arnel Calvario,89.0,0
New York,1,3,JAM REPUBLIC,Arturo Lyons,78.0,0
New York,1,3,JAM REPUBLIC,Chonique Sneed,83.0,0
New York,1,3,JAM REPUBLIC,Jamal Sims,84.0,0
New York,1,3,JAM REPUBLIC,LaTasha Barnes,83.0,0
New York,1,3,ROYAL FAMILY,Amari Marshall,80.0,1
New York,1,3,ROYAL FAMILY,Arnel Calvario,91.0,1
New York,1,3,ROYAL FAMILY,Arturo Lyons,86.0,1
New York,1,3,ROYAL FAMILY,Chonique Sneed,84.0,1
New York,1,3,ROYAL FAMILY,Jamal Sims,90.0,1
New York,1,3,ROYAL FAMILY,LaTasha Barnes,89.0,1
New York,2,1,BROTHERHOOD,Amari Marshall,100.0,1
New York,2,1,BROTHERHOOD,Arnel Calvario,96.0,1
New York,2,1,BROTHERHOOD,Arturo Lyons,100.0,1
New York,2,1,BROTHERHOOD,Chonique Sneed,98.0,1
New York,2,1,BROTHERHOOD,Jamal Sims,98.0,1
New York,2,1,BROTHERHOOD,LaTasha Barnes,99.0,1
New York,2,1,QUICK STYLE,Amari Marshall,88.0,0
New York,2,1,QUICK STYLE,Arnel Calvario,90.0,0
New York,2,1,QUICK STYLE,Arturo Lyons,88.0,0
New York,2,1,QUICK STYLE,Chonique Sneed,91.0,0
New York,2,1,QUICK STYLE,Jamal Sims,93.0,0
New York,2,1,QUICK STYLE,LaTasha Barnes,89.0,0
New York,2,1,ROYAL FAMILY,Amari Marshall,82.0,0
New York,2,1,ROYAL FAMILY,Arnel Calvario,88.0,0
New York,2,1,ROYAL FAMILY,Arturo Lyons,84.0,0
New York,2,1,ROYAL FAMILY,Chonique Sneed,89.0,0
New York,2,1,ROYAL FAMILY,Jamal Sims,88.0,0
New York,2,1,ROYAL FAMILY,LaTasha Barnes,86.0,0
Seoul,1,1,GRV,Amari Marshall,82.5,0
Seoul,1,1,GRV,Cheyenne Kibblewhite,87.0,0
Seoul,1,1,GRV,Comfort Fedoke,81.0,0
Seoul,1,1,GRV,Gina Michael,87.5,0
Seoul,1,1,GRV,Haeni Kim,80.0,0
Seoul,1,1,GRV,Nicolas Begin,86.5,0
Seoul,1,1,ROYAL FAMILY,Amari Marshall,88.5,1
Seoul,1,1,ROYAL FAMILY,Cheyenne Kibblewhite,88.5,1
Seoul,1,1,ROYAL FAMILY,Comfort Fedoke,89.0,1
Seoul,1,1,ROYAL FAMILY,Gina Michael,88.0,1
Seoul,1,1,ROYAL FAMILY,Haeni Kim,83.0,1
Seoul,1,1,ROYAL FAMILY,Nicolas Begin,90.0,1
Seoul,1,2,BROTHERHOOD,Amari Marshall,86.0,1
Seoul,1,2,BROTHERHOOD,Cheyenne Kibblewhite,88.5,1
