event_name,round,match,team,judge_name,category,score
New York,1,1,GRV,Amari Marshall,Choreography Complexity,8.0
New York,1,1,GRV,Amari Marshall,Staging,8.0
New York,1,1,GRV,Amari Marshall,Musicality,7.0
New York,1,1,GRV,Amari Marshall,Creativity,8.0
New York,1,1,GRV,Amari Marshall,Stylistic Athleticism,8.0
New York,1,1,GRV,Amari Marshall,Cleanliness,8.0
New York,1,1,GRV,Amari Marshall,Technical Execution + Authenticity,8.0
New York,1,1,GRV,Amari Marshall,Spacing,8.0
New York,1,1,GRV,Amari Marshall,Projection/Communication,8.0
New York,1,1,GRV,Amari Marshall,Stamina,9.0
New York,1,1,QUICK STYLE,Amari Marshall,Choreography Complexity,9.0
New York,1,1,QUICK STYLE,Amari Marshall,Staging,10.0
New York,1,1,QUICK STYLE,Amari Marshall,Musicality,10.0
New York,1,1,QUICK STYLE,Amari Marshall,Creativity,9.0
New York,1,1,QUICK STYLE,Amari Marshall,Stylistic Athleticism,8.0
New York,1,1,QUICK STYLE,Amari Marshall,Cleanliness,10.0
New York,1,1,QUICK STYLE,Amari Marshall,Technical Execution + Authenticity,10.0
New York,1,1,QUICK STYLE,Amari Marshall,Spacing,9.0
New York,1,1,QUICK STYLE,Amari Marshall,Projection/Communication,10.0
New York,1,1,QUICK STYLE,Amari Marshall,Stamina,10.0
New York,1,1,GRV,Arnel Calvario,Choreography Complexity,9.0
New York,1,1,GRV,Arnel Calvario,Staging,9.0
New York,1,1,GRV,Arnel Calvario,Musicality,9.0
New York,1,1,GRV,Arnel Calvario,Creativity,9.0
New York,1,1,GRV,Arnel Calvario,Stylistic Athleticism,10.0
New York,1,1,GRV,Arnel Calvario,Cleanliness,8.0
New York,1,1,GRV,Arnel Calvario,Technical Execution + Authenticity,9.0
New York,1,1,GRV,Arnel Calvario,Spacing,8.0
New York,1,1,GRV,Arnel Calvario,Projection/Communication,10.0
New York,1,1,GRV,Arnel Calvario,Stamina,10.0
New York,1,1,QUICK STYLE,Arnel Calvario,Choreography Complexity,9.0
New York,1,1,QUICK STYLE,Arnel Calvario,Staging,8.0
New York,1,1,QUICK STYLE,Arnel Calvario,Musicality,9.0
New York,1,1,QUICK STYLE,Arnel Calvario,Creativity,9.0
New York,1,1,QUICK STYLE,Arnel Calvario,Stylistic Athleticism,9.0
New York,1,1,QUICK STYLE,Arnel Calvario,Cleanliness,9.0
New York,1,1,QUICK STYLE,Arnel Calvario,Technical Execution + Authenticity,9.0
New York,1,1,QUICK STYLE,Arnel Calvario,Spacing,8.0
New York,1,1,QUICK STYLE,Arnel Calvario,Projection/Communication,10.0
New York,1,1,QUICK STYLE,Arnel Calvario,Stamina,9.0
New York,1,1,GRV,Arturo Lyons,Choreography Complexity,8.0
New York,1,1,GRV,Arturo Lyons,Staging,8.0
New York,1,1,GRV,Arturo Lyons,Musicality,10.0
New York,1,1,GRV,Arturo Lyons,Creativity,8.0
New York,1,1,GRV,Arturo Lyons,Stylistic Athleticism,8.0
New York,1,1,GRV,Arturo Lyons,Cleanliness,9.0
New York,1,1,GRV,Arturo Lyons,Technical Execution + Authenticity,8.0
New York,1,1,GRV,Arturo Lyons,Spacing,9.0
New York,1,1,GRV,Arturo Lyons,Projection/Communication,9.0
New York,1,1,GRV,Arturo Lyons,Stamina,9.0
New York,1,1,QUICK STYLE,Arturo Lyons,Choreography Complexity,9.0
New York,1,1,QUICK STYLE,Arturo Lyons,Staging,7.0
New York,1,1,QUICK STYLE,Arturo Lyons,Musicality,10.0
New York,1,1,QUICK STYLE,Arturo Lyons,Creativity,8.0
New York,1,1,QUICK STYLE,Arturo Lyons,Stylistic Athleticism,7.0
New York,1,1,QUICK STYLE,Arturo Lyons,Cleanliness,8.0
New York,1,1,QUICK STYLE,Arturo Lyons,Technical Execution + Authenticity,8.0
New York,1,1,QUICK STYLE,Arturo Lyons,Spacing,7.0
New York,1,1,QUICK STYLE,Arturo Lyons,Projection/Communication,8.0
New York,1,1,QUICK STYLE,Arturo Lyons,Stamina,8.0
New York,1,1,GRV,Chonique Sneed,Choreography Complexity,9.0
New York,1,1,GRV,Chonique Sneed,Staging,8.0
New York,1,1,GRV,Chonique Sneed,Musicality,9.0
New York,1,1,GRV,Chonique Sneed,Creativity,8.0
New York,1,1,GRV,Chonique Sneed,Stylistic Athleticism,8.0
New York,1,1,GRV,Chonique Sneed,Cleanliness,9.0
New York,1,1,GRV,Chonique Sneed,Technical Execution + Authenticity,9.0
New York,1,1,GRV,Chonique Sneed,Spacing,8.0
New York,1,1,GRV,Chonique Sneed,Projection/Communication,9.0
New York,1,1,GRV,Chonique Sneed,Stamina,9.0
New York,1,1,QUICK STYLE,Chonique Sneed,Choreography Complexity,8.0
New York,1,1,QUICK STYLE,Chonique Sneed,Staging,9.0
New York,1,1,QUICK STYLE,Chonique Sneed,Musicality,9.0
New York,1,1,QUICK STYLE,Chonique Sneed,Creativity,10.0
New York,1,1,QUICK STYLE,Chonique Sneed,Stylistic Athleticism,8.0
New York,1,1,QUICK STYLE,Chonique Sneed,Cleanliness,9.0
New York,1,1,QUICK STYLE,Chonique Sneed,Technical Execution + Authenticity,9.0
New York,1,1,QUICK STYLE,Chonique Sneed,Spacing,10.0
New York,1,1,QUICK STYLE,Chonique Sneed,Projection/Communication,9.0
New York,1,1,QUICK STYLE,Chonique Sneed,Stamina,9.0
New York,1,1,GRV,Jamal Sims,Choreography Complexity,9.0
New York,1,1,GRV,Jamal Sims,Staging,9.0
New York,1,1,GRV,Jamal Sims,Musicality,10.0
New York,1,1,GRV,Jamal Sims,Creativity,9.0
New York,1,1,GRV,Jamal Sims,Stylistic Athleticism,10.0
New York,1,1,GRV,Jamal Sims,Cleanliness,8.0
New York,1,1,GRV,Jamal Sims,Technical Execution + Authenticity,9.0
New York,1,1,GRV,Jamal Sims,Spacing,10.0
New York,1,1,GRV,Jamal Sims,Projection/Communication,9.0
New York,1,1,GRV,Jamal Sims,Stamina,10.0
New York,1,1,QUICK STYLE,Jamal Sims,Choreography Complexity,9.0
New York,1,1,QUICK STYLE,Jamal Sims,Staging,9.0
New York,1,1,QUICK STYLE,Jamal Sims,Musicality,9.0
New York,1,1,QUICK STYLE,Jamal Sims,Creativity,9.0
New York,1,1,QUICK STYLE,Jamal Sims,Stylistic Athleticism,9.0
New York,1,1,QUICK STYLE,Jamal Sims,Cleanliness,10.0
New York,1,1,QUICK STYLE,Jamal Sims,Technical Execution + Authenticity,9.0
New York,1,1,QUICK STYLE,Jamal Sims,Spacing,8.0
New York,1,1,QUICK STYLE,Jamal Sims,Projection/Communication,9.0
New York,1,1,QUICK STYLE,Jamal Sims,Stamina,9.0
New York,1,1,GRV,LaTasha Barnes,Choreography Complexity,9.0
New York,1,1,GRV,LaTasha Barnes,Staging,9.0
New York,1,1,GRV,LaTasha Barnes,Musicality,8.0
New York,1,1,GRV,LaTasha Barnes,Creativity,9.0
New York,1,1,GRV,LaTasha Barnes,Stylistic Athleticism,7.0
New York,1,1,GRV,LaTasha Barnes,Cleanliness,7.0
New York,1,1,GRV,LaTasha Barnes,Technical Execution + Authenticity,9.0
New York,1,1,GRV,LaTasha Barnes,Spacing,9.0
New York,1,1,GRV,LaTasha Barnes,Projection/Communication,9.0
New York,1,1,GRV,LaTasha Barnes,Stamina,9.0
New York,1,1,QUICK STYLE,LaTasha Barnes,Choreography Complexity,9.0
New York,1,1,QUICK STYLE,LaTasha Barnes,Staging,9.0
New York,1,1,QUICK STYLE,LaTasha Barnes,Musicality,9.0
New York,1,1,QUICK STYLE,LaTasha Barnes,Creativity,10.0
New York,1,1,QUICK STYLE,LaTasha Barnes,Stylistic Athleticism,8.0
New York,1,1,QUICK STYLE,LaTasha Barnes,Cleanliness,8.0
New York,1,1,QUICK STYLE,LaTasha Barnes,Technical Execution + Authenticity,9.0
New York,1,1,QUICK STYLE,LaTasha Barnes,Spacing,9.0
New York,1,1,QUICK STYLE,LaTasha Barnes,Projection/Communication,10.0
New York,1,1,QUICK STYLE,LaTasha Barnes,Stamina,9.0
New York,1,2,BROTHERHOOD,Amari Marshall,Choreography Complexity,9.0
New York,1,2,BROTHERHOOD,Amari Marshall,Staging,10.0
New York,1,2,BROTHERHOOD,Amari Marshall,Musicality,10.0
New York,1,2,BROTHERHOOD,Amari Marshall,Creativity,10.0
New York,1,2,BROTHERHOOD,Amari Marshall,Stylistic Athleticism,9.0
New York,1,2,BROTHERHOOD,Amari Marshall,Cleanliness,9.0
New York,1,2,BROTHERHOOD,Amari Marshall,Technical Execution + Authenticity,9.0
New York,1,2,BROTHERHOOD,Amari Marshall,Spacing,8.0
New York,1,2,BROTHERHOOD,Amari Marshall,Projection/Communication,10.0
New York,1,2,BROTHERHOOD,Amari Marshall,Stamina,10.0
New York,1,2,1MILLION,Amari Marshall,Choreography Complexity,9.0
New York,1,2,1MILLION,Amari Marshall,Staging,9.0
New York,1,2,1MILLION,Amari Marshall,Musicality,9.0
New York,1,2,1MILLION,Amari Marshall,Creativity,9.0
New York,1,2,1MILLION,Amari Marshall,Stylistic Athleticism,9.0
New York,1,2,1MILLION,Amari Marshall,Cleanliness,8.0
New York,1,2,1MILLION,Amari Marshall,Technical Execution + Authenticity,8.0
New York,1,2,1MILLION,Amari Marshall,Spacing,9.0
New York,1,2,1MILLION,Amari Marshall,Projection/Communication,8.0
New York,1,2,1MILLION,Amari Marshall,Stamina,10.0
New York,1,2,BROTHERHOOD,Arnel Calvario,Choreography Complexity,10.0
New York,1,2,BROTHERHOOD,Arnel Calvario,Staging,9.0
New York,1,2,BROTHERHOOD,Arnel Calvario,Musicality,9.0
New York,1,2,BROTHERHOOD,Arnel Calvario,Creativity,9.0
New York,1,2,BROTHERHOOD,Arnel Calvario,Stylistic Athleticism,9.0
New York,1,2,BROTHERHOOD,Arnel Calvario,Cleanliness,9.0
New York,1,2,BROTHERHOOD,Arnel Calvario,Technical Execution + Authenticity,9.0
New York,1,2,BROTHERHOOD,Arnel Calvario,Spacing,8.0
New York,1,2,BROTHERHOOD,Arnel Calvario,Projection/Communication,10.0
New York,1,2,BROTHERHOOD,Arnel Calvario,Stamina,9.0
New York,1,2,1MILLION,Arnel Calvario,Choreography Complexity,9.0
New York,1,2,1MILLION,Arnel Calvario,Staging,10.0
New York,1,2,1MILLION,Arnel Calvario,Musicality,9.0
New York,1,2,1MILLION,Arnel Calvario,Creativity,8.0
New York,1,2,1MILLION,Arnel Calvario,Stylistic Athleticism,9.0
New York,1,2,1MILLION,Arnel Calvario,Cleanliness,9.0
New York,1,2,1MILLION,Arnel Calvario,Technical Execution + Authenticity,9.0
New York,1,2,1MILLION,Arnel Calvario,Spacing,8.0
New York,1,2,1MILLION,Arnel Calvario,Projection/Communication,10.0
New York,1,2,1MILLION,Arnel Calvario,Stamina,9.0
New York,1,2,BROTHERHOOD,Arturo Lyons,Choreography Complexity,10.0
New York,1,2,BROTHERHOOD,Arturo Lyons,Staging,10.0
New York,1,2,BROTHERHOOD,Arturo Lyons,Musicality,10.0
New York,1,2,BROTHERHOOD,Arturo Lyons,Creativity,10.0
New York,1,2,BROTHERHOOD,Arturo Lyons,Stylistic Athleticism,9.0
New York,1,2,BROTHERHOOD,Arturo Lyons,Cleanliness,9.0
New York,1,2,BROTHERHOOD,Arturo Lyons,Technical Execution + Authenticity,9.0
New York,1,2,BROTHERHOOD,Arturo Lyons,Spacing,10.0
New York,1,2,BROTHERHOOD,Arturo Lyons,Projection/Communication,9.0
New York,1,2,BROTHERHOOD,Arturo Lyons,Stamina,10.0
New York,1,2,1MILLION,Arturo Lyons,Choreography Complexity,7.0
New York,1,2,1MILLION,Arturo Lyons,Staging,7.0
New York,1,2,1MILLION,Arturo Lyons,Musicality,8.0
New York,1,2,1MILLION,Arturo Lyons,Creativity,8.0
New York,1,2,1MILLION,Arturo Lyons,Stylistic Athleticism,8.0
