event_name,round,match,team,yt_channel,timestamp,author_name,text
Seoul,1,2,QUICK STYLE,idl.global,0:39:26,@frannymalzar,its so underwhelming compared to their other ones:pensive_face::pensive_face::pensive_face::pensive_face:
Seoul,1,3,1MILLION,idl.global,0:56:38,@kunsyaman,UNA RAW ANG SHEIN #NOTOFASTFASHION
Seoul,2,1,BROTHERHOOD,idl.global,1:33:27,@tobioweb5500,LETS GOOOOOOOOOO
Seoul,1,1,GRV,idl.global,0:15:47,@ninoarieldiocampo3939,awh
Seoul,2,1,1MILLION,idl.global,1:39:15,@acotek56,this is asome
Seoul,2,1,BROTHERHOOD,idl.global,1:33:44,@claveriapauliversono.494,DISSING THE COUNTRY OMG
Seoul,2,1,1MILLION,idl.global,1:39:58,@justinguiniling4675,mid
Seoul,1,3,1MILLION,idl.global,0:56:40,@parkjihou,HOY MGA TAGA PILIPINS VOTE WISELY GUYS BAKA PATI BA NAMAN DITO IVOVOTE NIYO YUNG ANO HA
Seoul,1,2,QUICK STYLE,idl.global,0:39:28,@hotfudgesundae879,it felt repetitive
Seoul,1,2,QUICK STYLE,idl.global,0:40:50,@loraileys,oooo
Seoul,1,2,BROTHERHOOD,idl.global,0:37:10,@taynguyener,BEAT EM IP
Seoul,1,1,GRV,idl.global,0:15:11,@connellyzdiaz4529,RFFFFFFFFF
Seoul,2,1,BROTHERHOOD,idl.global,1:34:19,@Tepaneyy,fireeeeeeeeeeeeeeeeeeeeeeeeeee
Seoul,2,1,ROYAL FAMILY,idl.global,1:31:26,@AnaPopescu-x1y,all these groups atee
Seoul,1,2,QUICK STYLE,idl.global,0:42:22,@dafi-quakc,okay ima start casting my vote
Seoul,1,3,JAM REPUBLIC,idl.global,0:59:50,@HoshiOkiro,BAWI JAM REPUBBB
Seoul,1,1,GRV,idl.global,0:15:37,@heekiluna6050,aray mo
Seoul,1,2,QUICK STYLE,idl.global,0:40:29,@AnaSalgado-n1l,no I’m bored too
Seoul,2,1,1MILLION,idl.global,1:38:46,@nevieluvs,BH god it
Seoul,1,1,GRV,idl.global,0:14:09,@ririsgonewild,YEAHH GRVV
Seoul,1,2,BROTHERHOOD,idl.global,0:36:45,@academicsfirst,DAYTON
Seoul,2,1,ROYAL FAMILY,idl.global,1:31:00,@RubyCrystal-u1y,if it stop it's sus
Seoul,2,1,1MILLION,idl.global,1:39:24,@RubyCrystal-u1y,ok 3rd PLACE
Seoul,2,1,ROYAL FAMILY,idl.global,1:31:48,@malennamae,Fiiiiiire
