event_name,round,match,team,yt_channel,timestamp,author_name,text,sentiment
Seoul,1,2,QUICK STYLE,idl.global,0:39:26,@frannymalzar,its so underwhelming compared to their other ones:pensive_face::pensive_face::pensive_face::pensive_face:,Negative
Seoul,1,3,1MILLION,idl.global,0:56:38,@kunsyaman,UNA RAW ANG SHEIN #NOTOFASTFASHION,Negative
Seoul,2,1,BROTHERHOOD,idl.global,1:33:27,@tobioweb5500,LETS GOOOOOOOOOO,Positive
Seoul,1,1,GRV,idl.global,0:15:47,@ninoarieldiocampo3939,awh,Neutral
Seoul,2,1,1MILLION,idl.global,1:39:15,@acotek56,this is asome,Positive
Seoul,2,1,BROTHERHOOD,idl.global,1:33:44,@claveriapauliversono.494,DISSING THE COUNTRY OMG,Positive
Seoul,2,1,1MILLION,idl.global,1:39:58,@justinguiniling4675,mid,Negative
Seoul,1,3,1MILLION,idl.global,0:56:40,@parkjihou,HOY MGA TAGA PILIPINS VOTE WISELY GUYS BAKA PATI BA NAMAN DITO IVOVOTE NIYO YUNG ANO HA,Neutral
Seoul,1,2,QUICK STYLE,idl.global,0:39:28,@hotfudgesundae879,it felt repetitive,Negative
Seoul,1,2,QUICK STYLE,idl.global,0:40:50,@loraileys,oooo,Positive
Seoul,1,2,BROTHERHOOD,idl.global,0:37:10,@taynguyener,BEAT EM IP,Positive
Seoul,1,1,GRV,idl.global,0:15:11,@connellyzdiaz4529,RFFFFFFFFF,Neutral
Seoul,2,1,BROTHERHOOD,idl.global,1:34:19,@Tepaneyy,fireeeeeeeeeeeeeeeeeeeeeeeeeee,Positive
Seoul,2,1,ROYAL FAMILY,idl.global,1:31:26,@AnaPopescu-x1y,all these groups atee,Positive
Seoul,1,2,QUICK STYLE,idl.global,0:42:22,@dafi-quakc,okay ima start casting my vote,Neutral
Seoul,1,3,JAM REPUBLIC,idl.global,0:59:50,@HoshiOkiro,BAWI JAM REPUBBB,Positive
Seoul,1,1,GRV,idl.global,0:15:37,@heekiluna6050,aray mo,Neutral
Seoul,1,2,QUICK STYLE,idl.global,0:40:29,@AnaSalgado-n1l,no I’m bored too,Negative
Seoul,2,1,1MILLION,idl.global,1:38:46,@nevieluvs,BH god it,Negative
Seoul,1,1,GRV,idl.global,0:14:09,@ririsgonewild,YEAHH GRVV,Positive
Seoul,1,2,BROTHERHOOD,idl.global,0:36:45,@academicsfirst,DAYTON,Positive
Seoul,2,1,ROYAL FAMILY,idl.global,1:31:00,@RubyCrystal-u1y,if it stop it's sus,Neutral
Seoul,2,1,1MILLION,idl.global,1:39:24,@RubyCrystal-u1y,ok 3rd PLACE,Neutral
Seoul,2,1,ROYAL FAMILY,idl.global,1:31:48,@malennamae,Fiiiiiire,Positive
Seoul,2,1,1MILLION,idl.global,1:38:23,@ellieanagnostou7545,GOOOOO BROTHERHOODD,Neutral
Seoul,1,3,JAM REPUBLIC,idl.global,1:01:46,@vahnyk,DISSS,Positive
Sydney,1,1,JAM REPUBLIC,steezystudio,0:25:38,@hewwoderek3318,LET THE GAMES BEGIN,Neutral
Seoul,1,2,QUICK STYLE,idl.global,0:41:09,@guuuu7j7654,Boring,Negative
Seoul,1,3,JAM REPUBLIC,idl.global,0:59:54,@eljhanzu,BROTHERHOOD ON TOPBROTHERHOOD ON TOPBROTHERHOOD ON TOPBROTHERHOOD ON TOPBROTHERHOOD ON TOPBROTHERHOOD ON TOPBROTHERHOOD ON TOPBROTHERHOOD ON TOPBROTHERHOOD ON TOPBROTHERHOOD ON TOPBROTHERHOOD ON TOP,Neutral
Seoul,1,3,1MILLION,idl.global,0:57:32,@UwU-on8kq,STAGINGGGG,Positive
Seoul,2,1,BROTHERHOOD,idl.global,1:33:53,@nishimurr0,LOL,Positive
Seoul,1,2,BROTHERHOOD,idl.global,0:38:17,@heinzfel,ADRIANNN,Positive
Seoul,2,1,1MILLION,idl.global,1:38:15,@ellieanagnostou7545,GOOOOO BROTHERHOODD,Neutral
Seoul,2,1,BROTHERHOOD,idl.global,1:35:49,@Venquizz-d8g,:fire::fire::fire::fire::fire:,Positive
Seoul,1,1,GRV,idl.global,0:16:41,@JeCzar,its still clean tho,Positive
Seoul,2,1,BROTHERHOOD,steezystudio,1:37:43,@ImFeja,The neck rotations with the hats look so good my god,Positive
Seoul,1,3,JAM REPUBLIC,idl.global,1:00:19,@crispy5104,again??????,Negative
Seoul,1,1,GRV,idl.global,0:14:51,@Reiddddddddd,hype rhe room up guys,Neutral
Seoul,2,1,BROTHERHOOD,idl.global,1:33:42,@medic_dubs,HELLO OPENING???,Positive
Seoul,2,1,1MILLION,steezystudio,1:43:05,@ramoskim1032,When is brotherhood guys?,Neutral
Seoul,2,1,1MILLION,idl.global,1:39:58,@Mavisymra,VOTE BROTHERHOOD!,Neutral
Seoul,2,1,BROTHERHOOD,idl.global,1:33:57,@shelleybutler-tx5hn,YOOOOO,Positive
Seoul,1,3,JAM REPUBLIC,idl.global,1:00:58,@gabbykristine5461,even the stream couldnt handle the same song for the third time LAWLL,Neutral
Seoul,2,1,BROTHERHOOD,idl.global,1:34:46,@harrybui1264,Okayyyyyyy,Positive
Seoul,2,1,1MILLION,steezystudio,1:42:52,@rhiazze,bh is done,Positive
Seoul,2,1,BROTHERHOOD,idl.global,1:34:27,@ellieanagnostou7545,GOOOOO BROTHERHOODD,Positive
Seoul,1,1,ROYAL FAMILY,idl.global,0:20:27,@CANAAN-x,damn,Positive
Seoul,1,2,BROTHERHOOD,idl.global,0:36:12,@Yondamotivs,MOVEIT VS ANGKAS,Neutral
Seoul,1,1,ROYAL FAMILY,idl.global,0:19:37,@kizuumi0420,AYEEEEE,Positive
Seoul,2,1,BROTHERHOOD,steezystudio,1:36:50,@KurtKydae,saja boysssss,Positive
Seoul,2,1,1MILLION,idl.global,1:39:57,@vmese,they won,Positive
Seoul,1,1,ROYAL FAMILY,idl.global,0:20:03,@ikeeee_0,FIREEEE,Positive
Seoul,1,3,1MILLION,idl.global,0:56:58,@Jwhops,GG GUYSSS,Positive
Seoul,2,1,BROTHERHOOD,idl.global,1:33:33,@ellieanagnostou7545,OH MYYYYY,Positive
Seoul,1,3,JAM REPUBLIC,idl.global,1:00:07,@JulianLadlad-q1h,WHAT,Neutral
Seoul,2,1,1MILLION,idl.global,1:39:19,@ifskate420,oh,Neutral
Seoul,1,2,QUICK STYLE,idl.global,0:40:27,@mathyunghyunsukieee3957,still Brotherhood,Negative
Seoul,2,1,ROYAL FAMILY,steezystudio,1:34:40,@ellianeblondeau,yaaaas,Positive
Seoul,1,1,ROYAL FAMILY,idl.global,0:20:41,@terrencegustilo9591,Royal Family ate!!,Positive
Seoul,1,3,JAM REPUBLIC,idl.global,0:59:43,@double_roses,BIASED CROWED THOUGH,Neutral
Seoul,1,3,JAM REPUBLIC,idl.global,0:59:59,@harrybui1264,JR better picks a good song,Neutral
Seoul,1,2,BROTHERHOOD,idl.global,0:36:57,@ririsgonewild,HUMUZAA,Positive
Seoul,1,3,JAM REPUBLIC,steezystudio,1:04:11,@lauren_yy,BYEEEEEE,Neutral
Seoul,1,2,QUICK STYLE,idl.global,0:41:55,@babyinbabyblue.,I’m srry but honestly brotherhood is taking it,Negative
Seoul,1,1,ROYAL FAMILY,idl.global,0:19:33,@MJH977,hmmm idk,Negative
Seoul,1,2,BROTHERHOOD,idl.global,0:36:03,@takeyyshi,SHETT,Neutral
Seoul,2,1,ROYAL FAMILY,idl.global,1:30:53,@RubyCrystal-u1y,if it stop it's sus,Neutral
Seoul,1,2,QUICK STYLE,idl.global,0:40:39,@takeyyshi,BRHD STILL CLEAN AFFF,Neutral
Seoul,1,1,GRV,idl.global,0:16:53,@RubyCrystal-u1y,ohhhhh,Neutral
Seoul,1,2,QUICK STYLE,idl.global,0:40:51,@aliahm.6726,ngl QS won already,Positive
Seoul,2,1,BROTHERHOOD,idl.global,1:33:40,@davemelano9631,kinjaz???,Neutral
Seoul,2,1,BROTHERHOOD,idl.global,1:33:20,@kenjifd,DAMNNN HAHAHAHAHAHAHAHAH,Positive
Seoul,2,1,BROTHERHOOD,idl.global,1:35:33,@takeyyshi,OH,Neutral
Seoul,1,2,QUICK STYLE,idl.global,0:39:38,@princesimbulan5074,not bad but not good,Negative
Seoul,1,3,1MILLION,idl.global,0:57:39,@eljhanzu,BROTHERHOOD ON TOPBROTHERHOOD ON TOPBROTHERHOOD ON TOPBROTHERHOOD ON TOPBROTHERHOOD ON TOPBROTHERHOOD ON TOPBROTHERHOOD ON TOPBROTHERHOOD ON TOPBROTHERHOOD ON TOPBROTHERHOOD ON TOPBROTHERHOOD ON TOP,Neutral
Seoul,2,1,BROTHERHOOD,idl.global,1:34:37,@toshq_q,SO CLEAN,Positive
Seoul,1,3,1MILLION,idl.global,0:56:04,@Oyasumi1234,1 MIL LEGGOOOOO,Positive
Seoul,2,1,1MILLION,idl.global,1:39:08,@RafaelWFH,IF 1M WON ITS COOK,Negative
Seoul,2,1,ROYAL FAMILY,steezystudio,1:34:37,@kavoooo1,yeahh this is too good they are going to win,Positive
Seoul,1,3,JAM REPUBLIC,idl.global,1:00:04,@UwU-on8kq,HOLY,Positive
Seoul,1,1,ROYAL FAMILY,idl.global,0:20:54,@vyanzee6,DAMNN,Positive
Seoul,2,1,BROTHERHOOD,idl.global,1:34:51,@firzymahardikalolowang9510,the crowd not thatt loud,Neutral
Seoul,1,3,JAM REPUBLIC,idl.global,1:00:53,@markb4055,Sabotage hahaha,Neutral
Seoul,1,2,QUICK STYLE,idl.global,0:42:18,@isabella-rc7ks,BROTHERHOODD,Neutral
Seoul,1,2,QUICK STYLE,idl.global,0:41:58,@LivingInElysium,Really not feeling this one.,Negative
Seoul,1,3,JAM REPUBLIC,steezystudio,1:05:08,@yshnrys,THEYRE SO MADDD GAHWISBSJNED,Neutral
Sydney,1,2,1MILLION,steezystudio,0:52:11,@yourhope8030,leshh gooooooooooo,Positive
Seoul,2,1,1MILLION,steezystudio,1:43:25,@แมดเธอว์,the wswf moment i CANTTT,Positive
