event_name,round,match,team,yt_channel,timestamp,author_name,text,sentiment
Sydney,1,1,JAM REPUBLIC,steezystudio,0:25:38,@hewwoderek3318,LET THE GAMES BEGIN,Neutral
Sydney,1,1,JAM REPUBLIC,steezystudio,0:25:41,@kikacordova3193,WOOOOWWWWW!!!,Positive
Sydney,1,1,JAM REPUBLIC,steezystudio,0:25:43,@maro5239,LEZZGO JRSEAAAAAA,Positive
Sydney,1,1,JAM REPUBLIC,steezystudio,0:26:45,@sage_clI,OHH SHII OH SHII,Positive
Sydney,1,1,JAM REPUBLIC,steezystudio,0:27:06,@kikacordova3193,the time for me its 3:46 am. and i was like why is there a stream right now? oh its different times duh:grinning_face_with_sweat:,Negative
Sydney,1,1,JAM REPUBLIC,steezystudio,0:28:24,@sage_clI,JRSEAAA,Positive
Sydney,1,1,GRV,steezystudio,0:29:44,@maro5239,GRV GRV GRV,Neutral
Sydney,1,1,GRV,steezystudio,0:29:57,@hewwoderek3318,GRV GRVVVVVVV,Positive
Sydney,1,1,GRV,steezystudio,0:30:04,@sage_clI,NO WAYYY SAME SONG,Negative
Sydney,1,1,GRV,steezystudio,0:30:09,@maro5239,OHHHHHH,Positive
Sydney,1,1,GRV,steezystudio,0:30:36,@kateisweird9999,BROOOOOOOOO,Positive
Sydney,1,1,GRV,steezystudio,0:30:51,@hewwoderek3318,LETS GO AIDEN,Positive
Sydney,1,1,GRV,steezystudio,0:31:03,@hewwoderek3318,YES RIVER,Positive
Sydney,1,1,GRV,steezystudio,0:31:11,@sage_clI,BRO THE RIVER FLIP,Positive
Sydney,1,1,GRV,steezystudio,0:31:29,@jamesnapoleon9402,grv winning this,Positive
Sydney,1,1,GRV,steezystudio,0:31:30,@klayshana,GRV will win this round,Positive
Sydney,1,2,QUICK STYLE,steezystudio,0:49:54,@yourhope8030,18 is propbably nervous,Negative
Sydney,1,2,1MILLION,steezystudio,0:52:11,@yourhope8030,leshh gooooooooooo,Positive
Sydney,1,2,1MILLION,steezystudio,0:52:17,@maro5239,GO 1MMMMMM,Positive
Sydney,1,2,1MILLION,steezystudio,0:52:39,@maro5239,GO LIA AND HARIMUUUU,Positive
Sydney,1,2,1MILLION,steezystudio,0:53:31,@hewwoderek3318,1M got thisssss,Positive
Sydney,1,3,ROYAL FAMILY,steezystudio,1:10:31,@kyllenavarro-n1e,easy sweap?,Neutral
Sydney,1,3,ROYAL FAMILY,steezystudio,1:11:05,@yourhope8030,RENEEEEEEEEEEEEE,Positive
Sydney,1,3,ROYAL FAMILY,steezystudio,1:12:18,@yourhope8030,ISLAAAAAAAAAAAAAAAAAAAA,Positive
Sydney,1,3,ROYAL FAMILY,steezystudio,1:13:09,@hewwoderek3318,KRUMPINGGGGG,Positive
Sydney,1,3,ROYAL FAMILY,steezystudio,1:13:13,@hewwoderek3318,YASSSSSSS,Positive
Sydney,1,3,BROTHERHOOD,steezystudio,1:14:37,@JCFE,EAT EM UPPPP,Positive
Sydney,1,3,BROTHERHOOD,steezystudio,1:14:38,@hewwoderek3318,Woooooo BRV,Positive
Sydney,1,3,BROTHERHOOD,steezystudio,1:14:40,@JCFE,BRHDD,Neutral
Sydney,1,3,BROTHERHOOD,steezystudio,1:14:56,@yourhope8030,LESHGOOOOOOOOOOOOOOOO,Positive
Sydney,1,3,BROTHERHOOD,steezystudio,1:15:02,@yourhope8030,AWWWWWWWWWWWW,Positive
Sydney,1,3,BROTHERHOOD,steezystudio,1:16:02,@yourhope8030,TABLES TURNED,Neutral
Sydney,1,3,BROTHERHOOD,steezystudio,1:16:06,@binhvonguyen6244,sisterhood,Negative
Sydney,1,3,BROTHERHOOD,steezystudio,1:16:10,@kyllenavarro-n1e,nah man,Negative
Sydney,1,3,BROTHERHOOD,steezystudio,1:16:18,@kyllenavarro-n1e,sisterhood,Negative
Sydney,1,3,BROTHERHOOD,steezystudio,1:16:27,@florencenikitalee,BROTHERHOOOOODDD,Neutral
Sydney,1,3,BROTHERHOOD,steezystudio,1:16:35,@yourhope8030,SLAAAAAAAAAAAAYYYYYYYYYYYYYYYYY,Positive
Sydney,1,3,BROTHERHOOD,steezystudio,1:16:43,@kyllenavarro-n1e,slaaayyyyy,Positive
Sydney,1,3,BROTHERHOOD,steezystudio,1:16:43,@sage_clI,SISTERHOOD,Neutral
Sydney,1,3,BROTHERHOOD,steezystudio,1:16:45,@Jam-hw7nz,FRANCIS EATING UP SO BAD,Positive
Sydney,1,3,BROTHERHOOD,steezystudio,1:16:53,@binhvonguyen6244,ate it down,Negative
Sydney,1,3,BROTHERHOOD,steezystudio,1:17:05,@yourhope8030,NUMBER 444444444444444444444,Neutral
Sydney,1,3,BROTHERHOOD,steezystudio,1:17:05,@binhvonguyen6244,woooooooooooooooooooooooooooooooooooooooooo,Positive
Sydney,2,1,1MILLION,steezystudio,1:48:13,@klayshana,LIA KIM!,Positive
Sydney,2,1,GRV,steezystudio,1:50:31,@hewwoderek3318,COME ON FAMMMMMMM :black_heart::green_heart::black_heart::green_heart::black_heart::green_heart:,Positive
Sydney,2,1,GRV,steezystudio,1:50:48,@hewwoderek3318,LETS GOOOOOOOOOO,Positive
Sydney,2,1,GRV,steezystudio,1:51:54,@klayshana,Kaylar :fire:,Positive
Seoul,1,1,GRV,steezystudio,0:17:09,@presko5787,RAHHHHHHHH,Positive
Seoul,1,1,GRV,steezystudio,0:17:11,@sunakochan466,Hayaan niyo ibigay na natin sa kanila yan HAHAHA andyan naman si CLAY,Neutral
Seoul,1,1,GRV,steezystudio,0:17:12,@presko5787,GRVVVV,Positive
Seoul,1,1,GRV,steezystudio,0:17:15,@klarzsenpaiii,OK HERE WE GO,Positive
Seoul,1,1,GRV,steezystudio,0:17:15,@arvinayee,LEFG GRVVVVVVVVV,Positive
Seoul,1,1,GRV,steezystudio,0:17:16,@ehtwmz,this stage is big asf omg,Positive
Seoul,1,1,GRV,steezystudio,0:17:18,@klarzsenpaiii,LESGO,Neutral
Seoul,1,1,GRV,steezystudio,0:17:24,@sunakochan466,LISTEN TO CLAY,Neutral
Seoul,1,1,GRV,steezystudio,0:17:25,@presko5787,LFGG,Neutral
Seoul,1,1,GRV,steezystudio,0:17:44,@arvinayee,CLEANNNNNNNN,Positive
Seoul,1,1,GRV,steezystudio,0:17:46,@hewwoderek3318,LETS GO GRVVVVV,Positive
Seoul,1,1,GRV,steezystudio,0:17:49,@elenammorante,okkk cleannn,Positive
Seoul,1,1,GRV,steezystudio,0:18:19,@hewwoderek3318,YASSSSSSSS GRVVVVVV,Positive
Seoul,1,1,GRV,steezystudio,0:18:25,@arvinayee,RAHHHHHHHHH,Positive
Seoul,1,1,GRV,steezystudio,0:18:38,@klarzsenpaiii,OMG,Positive
Seoul,1,1,GRV,steezystudio,0:18:44,@ehtwmz,OK THAT WAS TUFF,Positive
Seoul,1,1,GRV,steezystudio,0:18:48,@oliviatokiohotel,LETS GOOOOO,Positive
Seoul,1,1,GRV,steezystudio,0:18:48,@JacobLeggett,ads bro,Neutral
Seoul,1,1,GRV,steezystudio,0:18:49,@hewwoderek3318,YASSSSSSSS MATTTTTTTTTTT,Positive
Seoul,1,1,GRV,steezystudio,0:18:51,@oliviatokiohotel,AYYYY,Positive
Seoul,1,1,GRV,steezystudio,0:18:59,@Sarafadom,Someone didnt land,Negative
Seoul,1,1,GRV,steezystudio,0:19:01,@joied4718,ouchhh,Positive
Seoul,1,1,GRV,steezystudio,0:19:29,@queen_najjingo,lets gooooo,Positive
Seoul,1,1,GRV,steezystudio,0:19:35,@ellianeblondeau,"yeah, the landing seemed off. they'll show it later, or Clay probably spotted it",Negative
Seoul,1,1,GRV,steezystudio,0:19:40,@joied4718,LOOOOOL,Positive
Seoul,1,1,GRV,steezystudio,0:19:40,@Toph.434,CLEANNN,Positive
Seoul,1,1,GRV,steezystudio,0:19:42,@oliviatokiohotel,OMGGG AAAAA,Positive
