event_name,round,match,team,routine_start_ts,routine_end_ts,yt_channel
Sydney,1,1,JAM REPUBLIC,00:25:30,00:28:24,steezystudio
Sydney,1,1,GRV,00:29:40,00:32:30,steezystudio
Sydney,1,2,QUICK STYLE,00:48:35,00:51:12,steezystudio
Sydney,1,2,1MILLION,00:52:10,00:54:40,steezystudio
Sydney,1,3,BROTHERHOOD,01:14:35,01:17:22,steezystudio
Sydney,1,3,ROYAL FAMILY,01:10:28,01:13:25,steezystudio
Sydney,2,1,BROTHERHOOD,01:55:02,01:57:43,steezystudio
Sydney,2,1,GRV,01:50:28,01:53:00,steezystudio
Sydney,2,1,1MILLION,01:45:58,01:48:38,steezystudio
Seoul,1,1,GRV,00:17:03,00:20:05,steezystudio
Seoul,1,1,ROYAL FAMILY,00:21:06,00:23:52,steezystudio
Seoul,1,2,BROTHERHOOD,00:38:47,00:41:31,steezystudio
Seoul,1,2,QUICK STYLE,00:42:21,00:45:25,steezystudio
Seoul,1,3,JAM REPUBLIC,01:02:42,01:05:15,steezystudio
Seoul,1,3,1MILLION,00:58:55,01:01:39,steezystudio
Seoul,2,1,BROTHERHOOD,01:36:50,01:39:30,steezystudio
Seoul,2,1,1MILLION,01:40:50,01:43:32,steezystudio
Seoul,2,1,ROYAL FAMILY,01:32:45,01:35:30,steezystudio
Seoul,1,1,GRV,00:14:04,00:17:07,idl.global
Seoul,1,1,ROYAL FAMILY,00:18:06,00:20:55,idl.global
Seoul,1,2,BROTHERHOOD,00:35:47,00:38:31,idl.global
Seoul,1,2,QUICK STYLE,00:39:21,00:42:25,idl.global
Seoul,1,3,JAM REPUBLIC,00:59:42,01:01:58,idl.global
Seoul,1,3,1MILLION,00:55:55,00:58:39,idl.global
Seoul,2,1,BROTHERHOOD,01:33:20,01:36:00,idl.global
Seoul,2,1,1MILLION,01:37:22,01:40:00,idl.global
Seoul,2,1,ROYAL FAMILY,01:29:30,01:32:15,idl.global
