event_name,round,match,team,yt_channel,timestamp,author_name,text
Sydney,1,1,JAM REPUBLIC,steezystudio,0:25:38,@hewwoderek3318,LET THE GAMES BEGIN
Sydney,1,1,JAM REPUBLIC,steezystudio,0:25:41,@kikacordova3193,WOOOOWWWWW!!!
Sydney,1,1,JAM REPUBLIC,steezystudio,0:25:43,@maro5239,LEZZGO JRSEAAAAAA
Sydney,1,1,JAM REPUBLIC,steezystudio,0:26:45,@sage_clI,OHH SHII OH SHII
Sydney,1,1,JAM REPUBLIC,steezystudio,0:27:06,@kikacordova3193,the time for me its 3:46 am. and i was like why is there a stream right now? oh its different times duh:grinning_face_with_sweat:
Sydney,1,1,JAM REPUBLIC,steezystudio,0:28:24,@sage_clI,JRSEAAA
Sydney,1,1,GRV,steezystudio,0:29:44,@maro5239,GRV GRV GRV
Sydney,1,1,GRV,steezystudio,0:29:57,@hewwoderek3318,GRV GRVVVVVVV
Sydney,1,1,GRV,steezystudio,0:30:04,@sage_clI,NO WAYYY SAME SONG
Sydney,1,1,GRV,steezystudio,0:30:09,@maro5239,OHHHHHH
Sydney,1,1,GRV,steezystudio,0:30:36,@kateisweird9999,BROOOOOOOOO
Sydney,1,1,GRV,steezystudio,0:30:51,@hewwoderek3318,LETS GO AIDEN
Sydney,1,1,GRV,steezystudio,0:31:03,@hewwoderek3318,YES RIVER
Sydney,1,1,GRV,steezystudio,0:31:11,@sage_clI,BRO THE RIVER FLIP
Sydney,1,1,GRV,steezystudio,0:31:29,@jamesnapoleon9402,grv winning this
Sydney,1,1,GRV,steezystudio,0:31:30,@klayshana,GRV will win this round
Sydney,1,2,QUICK STYLE,steezystudio,0:49:54,@yourhope8030,18 is propbably nervous
Sydney,1,2,1MILLION,steezystudio,0:52:11,@yourhope8030,leshh gooooooooooo
Sydney,1,2,1MILLION,steezystudio,0:52:17,@maro5239,GO 1MMMMMM
Sydney,1,2,1MILLION,steezystudio,0:52:39,@maro5239,GO LIA AND HARIMUUUU
Sydney,1,2,1MILLION,steezystudio,0:53:31,@hewwoderek3318,1M got thisssss
Sydney,1,3,ROYAL FAMILY,steezystudio,1:10:31,@kyllenavarro-n1e,easy sweap?
Sydney,1,3,ROYAL FAMILY,steezystudio,1:11:05,@yourhope8030,RENEEEEEEEEEEEEE
Sydney,1,3,ROYAL FAMILY,steezystudio,1:12:18,@yourhope8030,ISLAAAAAAAAAAAAAAAAAAAA
Sydney,1,3,ROYAL FAMILY,steezystudio,1:13:09,@hewwoderek3318,KRUMPINGGGGG
Sydney,1,3,ROYAL FAMILY,steezystudio,1:13:13,@hewwoderek3318,YASSSSSSS
Sydney,1,3,BROTHERHOOD,steezystudio,1:14:37,@JCFE,EAT EM UPPPP
Sydney,1,3,BROTHERHOOD,steezystudio,1:14:38,@hewwoderek3318,Woooooo BRV
Sydney,1,3,BROTHERHOOD,steezystudio,1:14:40,@JCFE,BRHDD
Sydney,1,3,BROTHERHOOD,steezystudio,1:14:56,@yourhope8030,LESHGOOOOOOOOOOOOOOOO
Sydney,1,3,BROTHERHOOD,steezystudio,1:15:02,@yourhope8030,AWWWWWWWWWWWW
Sydney,1,3,BROTHERHOOD,steezystudio,1:16:02,@yourhope8030,TABLES TURNED
Sydney,1,3,BROTHERHOOD,steezystudio,1:16:06,@binhvonguyen6244,sisterhood
Sydney,1,3,BROTHERHOOD,steezystudio,1:16:10,@kyllenavarro-n1e,nah man
Sydney,1,3,BROTHERHOOD,steezystudio,1:16:27,@florencenikitalee,BROTHERHOOOOODDD
Sydney,1,3,BROTHERHOOD,steezystudio,1:16:35,@yourhope8030,SLAAAAAAAAAAAAYYYYYYYYYYYYYYYYY
Sydney,1,3,BROTHERHOOD,steezystudio,1:16:43,@kyllenavarro-n1e,slaaayyyyy
Sydney,1,3,BROTHERHOOD,steezystudio,1:16:43,@sage_clI,SISTERHOOD
Sydney,1,3,BROTHERHOOD,steezystudio,1:16:45,@Jam-hw7nz,FRANCIS EATING UP SO BAD
Sydney,1,3,BROTHERHOOD,steezystudio,1:16:53,@binhvonguyen6244,ate it down
Sydney,1,3,BROTHERHOOD,steezystudio,1:17:05,@yourhope8030,NUMBER 444444444444444444444
Sydney,1,3,BROTHERHOOD,steezystudio,1:17:05,@binhvonguyen6244,woooooooooooooooooooooooooooooooooooooooooo
Sydney,2,1,1MILLION,steezystudio,1:48:13,@klayshana,LIA KIM!
Sydney,2,1,GRV,steezystudio,1:50:31,@hewwoderek3318,COME ON FAMMMMMMM :black_heart::green_heart::black_heart::green_heart::black_heart::green_heart:
Sydney,2,1,GRV,steezystudio,1:50:48,@hewwoderek3318,LETS GOOOOOOOOOO
Sydney,2,1,GRV,steezystudio,1:51:54,@klayshana,Kaylar :fire:
Seoul,1,1,GRV,steezystudio,0:17:09,@presko5787,RAHHHHHHHH
Seoul,1,1,GRV,steezystudio,0:17:11,@sunakochan466,Hayaan niyo ibigay na natin sa kanila yan HAHAHA andyan naman si CLAY
Seoul,1,1,GRV,steezystudio,0:17:12,@presko5787,GRVVVV
Seoul,1,1,GRV,steezystudio,0:17:15,@klarzsenpaiii,OK HERE WE GO
Seoul,1,1,GRV,steezystudio,0:17:15,@arvinayee,LEFG GRVVVVVVVVV
Seoul,1,1,GRV,steezystudio,0:17:16,@ehtwmz,this stage is big asf omg
Seoul,1,1,GRV,steezystudio,0:17:18,@klarzsenpaiii,LESGO
Seoul,1,1,GRV,steezystudio,0:17:24,@sunakochan466,LISTEN TO CLAY
Seoul,1,1,GRV,steezystudio,0:17:25,@presko5787,LFGG
Seoul,1,1,GRV,steezystudio,0:17:44,@arvinayee,CLEANNNNNNNN
Seoul,1,1,GRV,steezystudio,0:17:46,@hewwoderek3318,LETS GO GRVVVVV
Seoul,1,1,GRV,steezystudio,0:17:49,@elenammorante,okkk cleannn
