event,date,venue,round,match,team,fan_vote_count,judge,category,score,total_fan_votes
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Amari Marshall,Choreography Complexity,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Amari Marshall,Staging,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Amari Marshall,Musicality,7.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Amari Marshall,Creativity,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Amari Marshall,Stylistic Athleticism,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Amari Marshall,Cleanliness,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Amari Marshall,Technical Execution + Authenticity,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Amari Marshall,Spacing,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Amari Marshall,Projection/Communication,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Amari Marshall,Stamina,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Amari Marshall,Choreography Complexity,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Amari Marshall,Staging,10.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Amari Marshall,Musicality,10.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Amari Marshall,Creativity,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Amari Marshall,Stylistic Athleticism,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Amari Marshall,Cleanliness,10.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Amari Marshall,Technical Execution + Authenticity,10.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Amari Marshall,Spacing,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Amari Marshall,Projection/Communication,10.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Amari Marshall,Stamina,10.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Arnel Calvario,Choreography Complexity,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Arnel Calvario,Staging,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Arnel Calvario,Musicality,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Arnel Calvario,Creativity,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Arnel Calvario,Stylistic Athleticism,10.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Arnel Calvario,Cleanliness,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Arnel Calvario,Technical Execution + Authenticity,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Arnel Calvario,Spacing,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Arnel Calvario,Projection/Communication,10.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Arnel Calvario,Stamina,10.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Arnel Calvario,Choreography Complexity,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Arnel Calvario,Staging,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Arnel Calvario,Musicality,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Arnel Calvario,Creativity,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Arnel Calvario,Stylistic Athleticism,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Arnel Calvario,Cleanliness,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Arnel Calvario,Technical Execution + Authenticity,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Arnel Calvario,Spacing,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Arnel Calvario,Projection/Communication,10.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Arnel Calvario,Stamina,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Arturo Lyons,Choreography Complexity,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Arturo Lyons,Staging,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Arturo Lyons,Musicality,10.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Arturo Lyons,Creativity,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Arturo Lyons,Stylistic Athleticism,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Arturo Lyons,Cleanliness,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Arturo Lyons,Technical Execution + Authenticity,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Arturo Lyons,Spacing,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Arturo Lyons,Projection/Communication,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Arturo Lyons,Stamina,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Arturo Lyons,Choreography Complexity,9.0,1649
