round,category,n,tau,p_value
1,Choreography Complexity,12,0.3813850356982369,0.09395943105256332
1,Cleanliness,12,0.7575757575757575,0.00024002425044091711
1,Creativity,12,0.6462303276414968,0.0038074890643775023
1,Musicality,12,0.19069251784911845,0.40081416938293446
1,Projection/Communication,12,0.7575757575757575,0.00024002425044091711
1,Spacing,12,0.29944475857435754,0.18734640953487025
1,Staging,12,0.4923659639173309,0.027474239016943514
1,Stamina,12,0.606060606060606,0.005380307706696595
1,Stylistic Athleticism,12,0.5539117094069973,0.01312710939157066
1,Technical Execution + Authenticity,12,0.606060606060606,0.005380307706696595
2,Choreography Complexity,6,0.3333333333333333,0.46944444444444444
2,Cleanliness,6,0.4666666666666666,0.2722222222222222
2,Creativity,6,0.9999999999999999,0.002777777777777778
2,Musicality,6,0.3333333333333333,0.46944444444444444
2,Projection/Communication,6,0.8280786712108251,0.021717302554090816
2,Spacing,6,0.6900655593423543,0.05578260870684413
2,Staging,6,0.8280786712108251,0.021717302554090816
2,Stamina,6,0.6900655593423543,0.05578260870684413
2,Stylistic Athleticism,6,0.41403933560541256,0.2511180012744736
2,Technical Execution + Authenticity,6,0.6900655593423543,0.05578260870684413
