round,category,n,tau,p_value
1,Choreography Complexity,12,-0.22247460415730486,0.3285649834391966
1,Cleanliness,12,0.4242424242424242,0.06286914699241088
1,Creativity,12,0.12309149097933272,0.5815114852079422
1,Musicality,12,-0.47673129462279606,0.03569190011680441
1,Projection/Communication,12,0.4242424242424242,0.06286914699241088
1,Spacing,12,0.7092112703076887,0.0017920531973321216
1,Staging,12,0.09231861823449955,0.6793255216523519
1,Stamina,12,0.3333333333333333,0.15259045898802842
1,Stylistic Athleticism,12,0.21541010921383227,0.3347642675428819
1,Technical Execution + Authenticity,12,-0.0909090909090909,0.7373055246579552
2,Choreography Complexity,5,-0.10540925533894596,0.8005421074231263
2,Cleanliness,5,0.10540925533894596,0.8005421074231263
2,Creativity,5,-0.10540925533894596,0.8005421074231263
2,Musicality,5,-0.10540925533894596,0.8005421074231263
2,Projection/Communication,5,-0.4444444444444444,0.2979111183734344
2,Spacing,5,0.0,1.0
2,Staging,5,-0.3333333333333333,0.4349833603383296
2,Stamina,5,0.10540925533894596,0.8005421074231263
2,Stylistic Athleticism,5,-0.10540925533894596,0.8005421074231263
2,Technical Execution + Authenticity,5,0.10540925533894596,0.8005421074231263
